#Age   [M/H] slope  CN1    CN2  Ca4227    G   Fe4383 Ca4455 Fe4531  C4668   Hb   Fe5015   Mg1    Mg2    Mgb  Fe5270 Fe5335 Fe5406 Fe5709 Fe5782   NaD    TiO1   TiO2    HdA    HgA   HdF    HgF   D4000   CaT*   PaT    CaT    sTiO   MgI   D_CO
#===========================================================================================================================================================================================================================---------------------
 1.00 -1.71  0.30 -0.130 -0.049 -0.028 -0.730 -0.631  0.149  0.707 -0.028  4.493  1.508  0.007  0.041  0.434  0.393  0.566  0.292  0.278  0.100  1.336  0.018  0.014  6.832  5.837  5.065  5.065  1.500  4.689  1.842  6.402  0.976  0.307  1.126
 1.12 -1.71  0.30 -0.125 -0.043  0.005 -0.367 -0.420  0.193  0.816 -0.043  4.260  1.625  0.007  0.043  0.511  0.495  0.613  0.319  0.295  0.114  1.328  0.018  0.015  6.473  5.237  4.764  4.688  1.531  4.769  1.645  6.298  0.975  0.315  1.124
 1.26 -1.71  0.30 -0.130 -0.038  0.047  0.109 -0.197  0.250  0.979 -0.045  3.929  1.829  0.007  0.044  0.554  0.638  0.665  0.357  0.325  0.135  1.333  0.018  0.016  6.108  4.470  4.442  4.230  1.572  5.003  1.426  6.329  0.976  0.336  1.125
 1.41 -1.71  0.30 -0.133 -0.039  0.032 -0.256 -0.512  0.198  0.859 -0.087  4.256  1.680  0.006  0.039  0.571  0.516  0.580  0.298  0.300  0.100  1.222  0.018  0.014  6.615  5.042  4.847  4.579  1.567  4.817  1.580  6.286  0.973  0.314  1.120
 1.58 -1.71  0.30 -0.133 -0.037  0.052 -0.121 -0.447  0.212  0.900 -0.114  4.184  1.708  0.005  0.039  0.598  0.538  0.584  0.298  0.300  0.099  1.188  0.018  0.013  6.523  4.866  4.752  4.456  1.576  4.780  1.559  6.229  0.971  0.310  1.118
 1.78 -1.71  0.30 -0.132 -0.036  0.076  0.105 -0.323  0.233  0.958 -0.144  4.034  1.754  0.005  0.039  0.619  0.577  0.598  0.302  0.303  0.101  1.163  0.018  0.013  6.308  4.517  4.567  4.234  1.587  4.755  1.507  6.157  0.969  0.308  1.116
 2.00 -1.71  0.30 -0.133 -0.035  0.095  0.257 -0.256  0.246  0.995 -0.168  3.943  1.777  0.003  0.039  0.638  0.596  0.598  0.299  0.303  0.100  1.120  0.017  0.012  6.181  4.288  4.458  4.087  1.605  4.700  1.489  6.085  0.967  0.303  1.114
 2.24 -1.71  0.30 -0.132 -0.035  0.110  0.352 -0.204  0.254  1.016 -0.187  3.881  1.785  0.003  0.039  0.662  0.607  0.602  0.299  0.302  0.099  1.106  0.017  0.012  6.077  4.133  4.377  3.990  1.613  4.664  1.469  6.030  0.966  0.300  1.112
 2.51 -1.71  0.30 -0.131 -0.035  0.119  0.374 -0.202  0.251  1.013 -0.212  3.872  1.766  0.003  0.038  0.664  0.594  0.591  0.288  0.297  0.094  1.072  0.017  0.011  6.060  4.103  4.363  3.965  1.618  4.583  1.479  5.958  0.964  0.293  1.110
 2.82 -1.71  0.30 -0.131 -0.036  0.124  0.349 -0.213  0.247  1.002 -0.229  3.894  1.742  0.002  0.038  0.683  0.579  0.583  0.281  0.293  0.089  1.056  0.017  0.010  6.077  4.133  4.385  3.984  1.614  4.525  1.502  5.922  0.963  0.287  1.109
 3.16 -1.71  0.30 -0.131 -0.036  0.143  0.516 -0.149  0.255  1.029 -0.265  3.780  1.753  0.002  0.038  0.695  0.589  0.579  0.274  0.291  0.085  1.021  0.016  0.010  5.900  3.853  4.242  3.810  1.622  4.459  1.457  5.814  0.961  0.282  1.106
