 1.  -2.5 -0.2190E+00 -0.1286E+00 -0.3257E+00 -0.2893E+01 -0.2100E+01  0.9482E-02 -0.5002E+00  0.1782E+01  0.5356E+01  0.4521E+00  0.1024E-01  0.2512E-02  0.2586E+00 -0.1025E+01  0.3928E+00  0.6250E-01  0.6354E-01 -0.3091E+00  0.7940E+00  0.1528E-01 -0.7250E-03  0.8332E+01  0.8020E+01  0.6779E+01  0.6546E+01
 2.  -2.5 -0.1999E+00 -0.1229E+00 -0.2158E+00 -0.2242E+01 -0.1585E+01  0.3724E-01 -0.2510E+00  0.1199E+01  0.4816E+01  0.5994E+00  0.3009E-02  0.7184E-02  0.3013E+00 -0.7660E+00  0.4030E+00  0.8649E-01  0.4610E-01 -0.2924E+00  0.7692E+00  0.1601E-01  0.1187E-02  0.8106E+01  0.7371E+01  0.6222E+01  0.5942E+01
 3.  -2.5 -0.1906E+00 -0.1193E+00 -0.1492E+00 -0.1945E+01 -0.1338E+01  0.6420E-01 -0.1440E+00  0.1010E+01  0.4588E+01  0.6729E+00  0.6799E-03  0.7918E-02  0.2597E+00 -0.6526E+00  0.4405E+00  0.1151E+00  0.4864E-01 -0.2710E+00  0.7733E+00  0.1659E-01  0.2374E-02  0.7935E+01  0.7251E+01  0.5936E+01  0.5718E+01
 5.  -2.5 -0.1650E+00 -0.1066E+00 -0.2869E-01 -0.1167E+01 -0.7937E+00  0.1118E+00  0.4566E-01  0.6939E+00  0.3947E+01  0.7847E+00 -0.2128E-02  0.1367E-01  0.4039E+00 -0.4471E+00  0.4972E+00  0.1591E+00  0.5178E-01 -0.2424E+00  0.8213E+00  0.1747E-01  0.4282E-02  0.6867E+01  0.5734E+01  0.5114E+01  0.4785E+01
10.  -2.5 -0.1403E+00 -0.9152E-01  0.5867E-01 -0.3984E+00 -0.1042E+00  0.1538E+00  0.2207E+00  0.4793E+00  0.3178E+01  0.8883E+00 -0.1199E-02  0.1847E-01  0.5328E+00 -0.2139E+00  0.5537E+00  0.2101E+00  0.6363E-01 -0.2127E+00  0.9466E+00  0.1843E-01  0.6525E-02  0.5765E+01  0.3946E+01  0.4386E+01  0.3693E+01
12.  -2.5 -0.1197E+00 -0.7819E-01  0.9964E-01  0.2134E+00  0.3566E+00  0.1781E+00  0.3006E+00  0.4126E+00  0.2648E+01  0.9307E+00  0.3768E-04  0.1718E-01  0.4512E+00 -0.9997E-01  0.5807E+00  0.2328E+00  0.7370E-01 -0.2000E+00  0.9950E+00  0.1852E-01  0.7055E-02  0.4823E+01  0.2803E+01  0.3706E+01  0.2909E+01
 1.  -2.0 -0.2134E+00 -0.1240E+00 -0.2207E+00 -0.2499E+01 -0.1923E+01 -0.7111E-01 -0.1561E+00  0.4340E+00  0.5599E+01  0.4326E+00  0.9304E-02  0.1067E-01  0.3411E+00 -0.5971E+00  0.1994E+00 -0.8254E-02  0.8884E-01 -0.1632E+00  0.7530E+00  0.1451E-01 -0.1380E-02  0.8577E+01  0.8351E+01  0.6692E+01  0.6623E+01
 2.  -2.0 -0.1665E+00 -0.9720E-01 -0.7056E-01 -0.1002E+01 -0.1033E+01  0.6405E-01  0.3170E+00  0.2939E-01  0.4408E+01  0.9023E+00 -0.2120E-03  0.1539E-01  0.4498E+00 -0.1378E+00  0.3261E+00  0.6909E-01  0.1321E+00 -0.1073E+00  0.6633E+00  0.1498E-01  0.9256E-03  0.7472E+01  0.6389E+01  0.5473E+01  0.5240E+01
 3.  -2.0 -0.1580E+00 -0.9386E-01 -0.3361E-02 -0.7244E+00 -0.8499E+00  0.9516E-01  0.4177E+00 -0.8136E-01  0.4209E+01  0.9775E+00 -0.1443E-02  0.1887E-01  0.5356E+00 -0.6059E-01  0.3601E+00  0.8801E-01  0.1339E+00 -0.9652E-01  0.6859E+00  0.1536E-01  0.1778E-02  0.7154E+01  0.5917E+01  0.5199E+01  0.4942E+01
 5.  -2.0 -0.1315E+00 -0.7860E-01  0.1102E+00  0.6400E-01 -0.2999E+00  0.1745E+00  0.6279E+00 -0.1897E+00  0.3594E+01  0.1154E+01 -0.2741E-02  0.2517E-01  0.6647E+00  0.1289E+00  0.4512E+00  0.1447E+00  0.1554E+00 -0.6105E-01  0.7239E+00  0.1573E-01  0.3172E-02  0.5844E+01  0.4288E+01  0.4309E+01  0.3983E+01
